"Code","Name","Continent","Region","Population","LifeExpectancy","GNP","GovernmentForm","HeadOfState"
"PLW","Palau","Oceania","Micronesia","19000","68.6","105","Republic","Kuniwo Nakamura"
"PNG","Papua New Guinea","Oceania","Melanesia","4807000","63.1","4988","Constitutional Monarchy","Elizabeth II"
"POL","Poland","Europe","Eastern Europe","38653600","73.2","151697","Republic","Aleksander Kwasniewski"
"PRI","Puerto Rico","North America","Caribbean","3869000","75.6","34100","Commonwealth of the US","George W. Bush"
"PRK","North Korea","Asia","Eastern Asia","24039000","70.7","5332","Socialistic Republic","Kim Jong-il"
"PRT","Portugal","Europe","Southern Europe","9997600","75.8","105954","Republic","Jorge Sampãio"
"PRY","Paraguay","South America","South America","5496000","73.7","8444","Republic","Luis Ángel González Macchi"
"PSE","Palestine","Asia","Middle East","3101000","71.4","4173","Autonomous Area","Yasser (Yasir) Arafat"
"PYF","French Polynesia","Oceania","Polynesia","235000","74.8","818","Nonmetropolitan Territory of France","Jacques Chirac"
"QAT","Qatar","Asia","Middle East","599000","72.4","9472","Monarchy","Hamad ibn Khalifa al-Thani"
"REU","Réunion","Africa","Eastern Africa","699000","72.7","8287","Overseas Department of France","Jacques Chirac"
"ROM","Romania","Europe","Eastern Europe","22455500","69.9","38158","Republic","Ion Iliescu"
"RUS","Russian Federation","Europe","Eastern Europe","146934000","67.2","276608","Federal Republic","Vladimir Putin"
"RWA","Rwanda","Africa","Eastern Africa","7733000","39.3","2036","Republic","Paul Kagame"
"SAU","Saudi Arabia","Asia","Middle East","21607000","67.8","137635","Monarchy","Fahd ibn Abdul-Aziz al-SaŽud"
"SDN","Sudan","Africa","Northern Africa","29490000","56.6","10162","Islamic Republic","Omar Hassan Ahmad al-Bashir"
"SEN","Senegal","Africa","Western Africa","9481000","62.2","4787","Republic","Abdoulaye Wade"
"SGP","Singapore","Asia","Southeast Asia","3567000","80.1","86503","Republic","Sellapan Rama Nathan"
"SGS","South Georgia and the South Sandwich Islands","Antarctica","Antarctica","0","","0","Dependent Territory of the UK","Elizabeth II"
"SHN","Saint Helena","Africa","Western Africa","6000","76.8","0","Dependent Territory of the UK","Elizabeth II"
"SJM","Svalbard and Jan Mayen","Europe","Nordic Countries","3200","","0","Dependent Territory of Norway","Harald V"
"SLB","Solomon Islands","Oceania","Melanesia","444000","71.3","182","Constitutional Monarchy","Elizabeth II"
